,state,city,postal_code,latitude,longitude,stars,review_count,is_open,categories
0,01,Moss,1530,59.4356164,10.6647064,5.0,4,1,Steakhouses;Restaurants
1,3,Stetten,2100,48.3669,16.3827,5.0,4,1,Austrian;Restaurants;Beer Garden
2,30,Alex,30100,44.1264107,4.0808255,3.0,3,1,Restaurants;French
3,6,Haus,8967,47.3792,13.7685,5.0,3,1,Hotels & Travel;Hotels;Event Planning & Services
4,AB,Toronto,M5T 3K7,43.6551994,-79.39996140000002,5.0,3,1,Event Planning & Services;Private Tutors;Musical Instruments & Teachers;Education;Shopping;Musicians;Specialty Schools
5,ABE,Dudley,DY3 1UX,52.52778539999999,-2.1160213,4.5,6,1,Bars;Nightlife;Pubs
6,AK,Chandler,85286,33.2768201798,-111.79097007799999,2.5,22,1,Restaurants;Fast Food;Burgers
7,AL,North Las Vegas,89031,36.2624582694,-115.18200416100001,5.0,10,1,Hair Removal;Event Planning & Services;Eyebrow Services;Threading Services;Henna Artists;Beauty & Spas
8,AR,Mesa,85208,33.396629,-111.615618,5.0,11,1,Health & Medical;Dentists;Orthodontists
9,AZ,Phoenix,85034,33.421808,-111.989174,5.0,1463,1,Restaurants;Barbeque
10,B,Tigre,,-34.41803400000001,-58.572552,2.5,6,1,Restaurants;Argentine
11,BW,Stuttgart,70435,48.8345211415,9.152136513,5.0,37,1,Restaurants;International
12,BY,Leonberg,71229,48.7922305,9.0102769,5.0,5,0,Travel Services;Hotels & Travel;Transportation
13,C,Olivos,,-34.5137148952,-58.4888194035,4.5,23,1,Food;Ice Cream & Frozen Yogurt
14,CA,Las Vegas,89128,36.1988542,-115.2659777,5.0,3,0,Massage;Health & Medical;Life Coach;Yoga;Active Life;Beauty & Spas;Physical Therapy;Fitness & Instruction;Professional Services
15,CHE,Chester,CH1 2LY,53.1897926,-2.8944182,5.0,9,1,Active Life;Arts & Entertainment;Horse Racing;Stadiums & Arenas
16,CMA,Brampton,CA8 7DD,54.990102,-2.572867,3.5,6,1,Landmarks & Historical Buildings;Public Services & Government
17,CO,Main Street,,51.91615085270001,-8.1740587155,4.5,3,1,Irish;Restaurants
18,CS,Onda,12200,39.96749570000001,-0.2638502,4.5,3,1,Hotels & Travel;Hostels
19,DE,Lingen,49808,52.52186999999999,7.31761,4.0,5,1,Computers;Shopping;Mobile Phones
20,EDH,Edinburgh,EH8 8EQ,55.9439750067,-3.1620082537,5.0,171,1,Hiking;Parks;Active Life;Public Services & Government;Landmarks & Historical Buildings
